"Source","Asset","Team","Asset Name","Asset Type","URI","Detector","Description","Content Class","Exposure window","Ignored","Ignore timestamp","Ignore type","Ignore comment","Snooze end timestamp","Ignore Actor","Severity","Line start","Line end","Fingerprint"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21546","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21546","21547","8ab621bf6a73ae4a0229abf08fd622df4564884343179a562a3af1187d98b76d"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21544","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21544","21545","0798c3c611a2e068e40775b6f51a5c6e7083407c02c36e1a902fbee9cbef15fe"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21543","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21543","21544","388a3ac79f2a71026f5e3bbe80669bf0f551b276e6a57c0df0ecdc7afbec9e1d"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21417","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21417","21418","ca6f355d609bd5f26acd918b7360ae168171b905bc6953e3f72ecf60f6a3cd1e"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21416","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21416","21417","efbb8fd811ac307c9658660cbc6bcff3919b63d6179d91851d0ec2f03d323441"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21287","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21287","21288","d2bd2e1327d4be0d6e3608739f39a8d390697972be65de961971e86eb4301a1b"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21068","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21068","21069","d984d1078a866ef237a15df63ccb89b0553b0fdd4e1ae14c02f80b7c8c0167fd"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L21067","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","21067","21068","7dd7961408ffcea701b8a014167523e4f89f0f94e9f3134d3c78513e82cf9d9a"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20942","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20942","20943","f9cb77ab5249fa09e6cb54a3689316fed4ad95e59fe4c1452e7cae82d107e21d"
"github.com","github.com/clouddevops7171/full_stack_blogging","Opcito","CloudDevops7171/full_stack_blogging","git","https://github.com/CloudDevops7171/full_stack_blogging/blob/3734aabdff9e8cd76bb5a509e6b7c4893cce23ce/issues_report_05222025.pdf#L20941","AUDITB001","Tokens Audit","code/infra","1 day","false","","","","","","informational","20941","20942","c4f65a60e5d61ea42d3133ce297ae50bb637e0ff5f947ed01eefbd72389ee87a"
